VacancyID,jobTitle,jobCategory,jobFunction,jobLevel,country,stateProvince,city,postalCode,lat,lng,externalURLRet,Distance
47,"Supervisor - Store# 12025, NOTTING HILL - PEMBR",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W11 3HL,51.50979,-0.19718,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001883&lang=en-GB,
48,"Barista - Store# 12025, NOTTING HILL - PEMBR",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W11 3HL,51.50979,-0.19718,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001884&lang=en-GB,
49,"Supervisor - Store# 12027, BAYSWATER - QUEENSWA",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W2 4QH,51.51207,-0.1879,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001885&lang=en-GB,
50,"Barista - Store# 12027, BAYSWATER - QUEENSWA",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W2 4QH,51.51207,-0.1879,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001886&lang=en-GB,
51,"Supervisor - Store# 12038, ST. JOHN'S WOOD - HI",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,NW8 7NL,51.5339,-0.1714,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001887&lang=en-GB,
52,"Barista - Store# 12038, ST. JOHN'S WOOD - HI",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,NW8 7NL,51.5339,-0.1714,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001888&lang=en-GB,
55,"Supervisor - Store# 12040, KINGSWAY WC2, 99",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,WC2B 6QX,51.5164,-0.11988,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001891&lang=en-GB,
56,"Barista - Store# 12040, KINGSWAY WC2, 99",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,WC2B 6QX,51.5164,-0.11988,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001892&lang=en-GB,
57,"Supervisor - Store# 12044, EALING - OAK ROAD",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W5 3SS,51.51323,-0.30184,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001893&lang=en-GB,
58,"Barista - Store# 12044, EALING - OAK ROAD",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W5 3SS,51.51323,-0.30184,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001894&lang=en-GB,
